"Year","Quarter","Expenditure"
1950,1,1039
1950,2,730
1950,3,914
1950,4,846
1951,1,1127
1951,2,751
1951,3,936
1951,4,843
1952,1,1108
1952,2,831
1952,3,937
1952,4,880
1953,1,1096
1953,2,812
1953,3,967
1953,4,929
1954,1,1210
1954,2,881
1954,3,1060
1954,4,977
1955,1,1225
1955,2,905
1955,3,1117
1955,4,974
1956,1,1303
1956,2,938
1956,3,1074
1956,4,1017
1957,1,1304
1957,2,975
1957,3,1117
1957,4,1043
1958,1,1276
1958,2,987
1958,3,1153
1958,4,1080
1959,1,1363
1959,2,1033
1959,3,1220
1959,4,1124
1960,1,1409
1960,2,1072
1960,3,1251
1960,4,1183
1961,1,1490
1961,2,1133
1961,3,1321
1961,4,1232
1962,1,1491
1962,2,1148
1962,3,1341
1962,4,1277
1963,1,1528
1963,2,1191
1963,3,1380
1963,4,1330
1964,1,1594
1964,2,1191
1964,3,1396
1964,4,1370
1965,1,1624
1965,2,1303
1965,3,1517
1965,4,1420
1966,1,1652
1966,2,1334
1966,3,1561
1966,4,1449
1967,1,1772
1967,2,1487
1967,3,1599
1967,4,1505
1968,1,1783
1968,2,1490
1968,3,1690
1968,4,1566
1969,1,1860
1969,2,1539
1969,3,1712
1969,4,1668
1970,1,1928
1970,2,1601
1970,3,1777
1970,4,1710
1971,1,2024
1971,2,1607
1971,3,1827
1971,4,1811
1972,1,2025
1972,2,1743
1972,3,1881
1972,4,1857
1973,1,2084
1973,2,1763
1973,3,1918
1973,4,1854
1974,1,2140
1974,2,1847
1974,3,1999
1974,4,1986
1975,1,2280
1975,2,1923
1975,3,2045
1975,4,2098
1976,1,2355
1976,2,2013
1976,3,2188
1976,4,2078
1977,1,2396
1977,2,2039
1977,3,2229
1977,4,2193
1978,1,2504
1978,2,2122
1978,3,2302
1978,4,2279
1979,1,2585
1979,2,2267
1979,3,2413
1979,4,2381
1980,1,2601
1980,2,2301
1980,3,2499
1980,4,2438
1981,1,2710
1981,2,2402
1981,3,2591
1981,4,2527
1982,1,2803
1982,2,2517
1982,3,2679
1982,4,2613
1983,1,2936
1983,2,2616
1983,3,2782
1983,4,2717
1984,1,2990
1984,2,2715
1984,3,2872
1984,4,2779
1985,1,3069
1985,2,2735
1985,3,2940
1985,4,2922
1986,1,3189
1986,2,2874
1986,3,3051
1986,4,3021
1987,1,3354
1987,2,3049
1987,3,3203
1987,4,3165
1988,1,3410
1988,2,3106
1988,3,3302
1988,4,3245
1989,1,3483
1989,2,3185
1989,3,3394
1989,4,3393
1990,1,3640
1990,2,3335
1990,3,3539
1990,4,3494
1991,1,3779
1991,2,3487
1991,3,3640
1991,4,3626
1992,1,3928
1992,2,3637
1992,3,3754
1992,4,3729
1993,1,4012
1993,2,3734
1993,3,3968
1993,4,3879
1994,1,4167
1994,2,3848
1994,3,4052
1994,4,4032
1995,1,4307
1995,2,4032
1995,3,4225
1995,4,4144
1996,1,4448
1996,2,4154
1996,3,4341
1996,4,4287
1997,1,4579
1997,2,4309
1997,3,4486
1997,4,4476
1998,1,4777
1998,2,4500
1998,3,4673
1998,4,4628
1999,1,4903
1999,2,4591
1999,3,4854
1999,4,4789
2000,1,5077
2000,2,4816
2000,3,5011
2000,4,5031
2001,1,5278
2001,2,4963
2001,3,5170
2001,4,5151
2002,1,5468
2002,2,5245
2002,3,5356
2002,4,5350
2003,1,5611
2003,2,5381
2003,3,5586
2003,4,5501
2004,1,5782
2004,2,5494
2004,3,5715
2004,4,5693
2005,1,6044
2005,2,5698
2005,3,5913
2005,4,5945
2006,1,6210
2006,2,5929
2006,3,6148
2006,4,6150
2007,1,6468
2007,2,6173
2007,3,6444
2007,4,6373
2008,1,6651
2008,2,6390
2008,3,6603
2008,4,6598
2009,1,6913
2009,2,6615
2009,3,6810
2009,4,6816
2010,1,7158
2010,2,6930
2010,3,7102
2010,4,7079
2011,1,7360
2011,2,7050
2011,3,7303
2011,4,7287
2012,1,7607
2012,2,7327
2012,3,7556
2012,4,7581
2013,1,7912
2013,2,7655
2013,3,7858
2013,4,7838
2014,1,8155
2014,2,7862
2014,3,8143
2014,4,8121
2015,1,8456
2015,2,8179
2015,3,8434
2015,4,8437
2016,1,8733
2016,2,8436
2016,3,8723
2016,4,8698
2017,1,9101
2017,2,8804
2017,3,9059
2017,4,9020
2018,1,9359
2018,2,9083
2018,3,9359
2018,4,9383
2019,1,9712
2019,2,9454
2019,3,9697
2019,4,9707
2020,1,10043
2020,2,9791
2020,3,10059
2020,4,10072
